lat,lng,pop
34.28,117.18,2091000
29.4,104.78,1105000
31.47,104.77,1396000
30.5333,105.5333,1425000
30.7804,106.13,2174000
24.45,118.08,2519000
24.5204,117.67,3531147
22.2769,113.5678,1023000
23.0489,113.7447,4528000
21.2,110.38,1590000
24.9,118.58,1463000
22.5524,114.1221,7581000
24.28,109.25,1497000
23.37,116.67,1601000
29.88,121.55,1923000
33.0004,112.53,1944000
42.27,118.95,1277000
28.4704,117.97,1144577
30.58,114.27,7243000
32.02,112.13,1069000
36.675,116.995,2798000
23.145,113.325,8829000
29.03,111.68,1469000
40.08,113.3,1873000
34.68,112.4701,1715000
43.865,125.34,3183000
36.58,114.48,1631000
34.6,105.92,1225000
37.875,112.5451,2913000
39.9289,116.3883,11106000
31.58,120.3,1749000
31.7304,118.48,1366302
31.78,119.97,1327000
25.12,99.15,1000000
30.82,108.4,1680000
46.83,130.35,1020000
27.83,113.15,1080000
44.575,129.59,1244000
35.99,119.3801,1060000
25.92,114.95,1500000
43.805,87.575,2151000
31.7503,116.48,1690000
36.09,120.33,2866000
29.5671,103.7333,1157000
35.23,115.45,1338000
23.0965,109.6091,3830000
40.7503,120.83,2426000
29.565,106.595,6461000
36.62,101.77,1048000
36.056,103.792,2561000
31.85,117.28,2035000
32.68,109.02,1100000
34.3456,108.7147,1126000
47.345,123.99,1641000
32.05,118.78,3679000
31.3005,120.62,1650000
30.25,120.17,3007000
30.8704,120.1,1231000
28.02,120.6501,2350000
29.12,119.65,1092852
38.9228,121.6298,3167000
41.3304,123.75,1012000
41.115,122.94,1639000
41.8654,123.87,1470000
41.805,123.45,4787000
3.4,-76.5,2254000
10.96,-74.8,1798000
6.275,-75.575,3297000
7.1301,-73.1259,1009000
4.5964,-74.0833,7772000
9.935,-84.0841,1284000
23.132,-82.3642,2174000
50.0833,14.466,1162000
52.5218,13.4015,3406000
50.93,6.95,1004000
48.1299,11.575,1275000
51.2204,6.78,1220000
53.55,10,1757000
48.78,9.2,2944700
51.43,6.75,1276757
51.45,7.0166,1742135
49.5004,8.47,2362000
50.1,8.675,2895000
55.6786,12.5635,1085000
19.5,-70.67,1550753
18.4701,-69.9001,2154000
36.7631,3.0506,3354000
-0.215,-78.5001,1701000
-2.22,-79.92,2514000
30.01,31.19,2681863
30.05,31.25,11893000
31.2,29.95,4165000
41.3833,2.1834,4920000
37.405,-5.98,1212045
40.4,-3.6834,5567000
9.0333,38.7,3100000
60.1756,24.9341,1115000
43.29,5.375,1400000
48.8667,2.3333,9904000
50.65,3.08,1044000
45.77,4.83,1423000
53.3667,-1.5,1292900
52.475,-1.92,2285000
53.83,-1.58,1529000
53.5004,-2.248,2230000
51.5,-0.1167,8567000
55.8744,-4.2507,1160000
41.725,44.7908,1100000
6.69,-1.63,1646000
5.55,-0.2167,2121000
9.5315,-13.6802,1494000
37.9833,23.7333,3242000
14.6211,-90.527,1024000
22.305,114.185,7206000
18.541,-72.336,1998000
47.5,19.0833,1679000
-6.2173,106.9723,2378211
3.58,98.65,2115000
-7.2492,112.7508,2845000
-6.1744,106.8294,9125000
-7.7188,109.0154,1174964
-6.95,107.57,2394000
-5.14,119.432,1262000
-2.98,104.75,1749000
-6.9666,110.42,1396000
53.3331,-6.2489,1059000
31.7784,35.2066,1029300
32.08,34.77,3112000
32.8204,34.98,1011000
23.6833,86.9833,1328000
18.53,73.85,4672000
23.0301,72.58,5375000
17.6704,75.9,1057000
19.017,72.857,18978000
10.015,76.2239,1519000
12.97,77.56,6787000
22.31,73.18,1756000
21.2,72.84,3842000
23.25,77.41,1727000
17.4,78.48,6376000
26.855,80.915,2695000
13.09,80.28,7163000
22.5804,88.3299,4841638
23.8004,86.42,1246000
22.495,88.3247,14787000
22.7875,86.1975,1300000
17.73,83.305,1529000
22.31,70.8,1260000
19.2502,73.1602,1576614
11,76.95,1696000
20.0004,73.78,1473000
19.8957,75.3203,1113000
23.37,85.33,1044000
27.1704,78.015,1592000
29.0004,77.7,1398000
28.67,77.23,15926000
30.9278,75.8723,1649000
28.6604,77.4084,1341000
28.4333,77.3167,1394000
21.2167,81.4333,1097000
18.01,79.58,1203853
25.33,83,1352000
23.1751,79.9551,1285000
21.17,79.09,2454000
34.1,74.815,1140000
26.46,80.32,3162000
25.455,81.84,1201000
22.7151,75.865,2026000
26.9211,75.81,2917000
16.52,80.63,1137000
31.64,74.87,1212000
25.625,85.13,2158000
9.92,78.12,1294000
33.3386,44.3939,5054000
36.345,43.145,1316000
32.7,51.7,1628000
38.0863,46.3012,1413000
29.63,52.57,1240000
36.27,59.57,2469000
35.8004,50.97,1423000
35.6719,51.4243,7873000
41.896,12.4833,3339000
45.47,9.205,2945000
45.0704,7.67,1652000
40.84,14.245,2250000
43.78,11.25,1500000
31.95,35.9333,1060000
35.685,139.7514,35676000
33.595,130.41,2792000
34.3878,132.4429,2045000
34.68,135.17,1528478
35.03,135.75,1805000
35.155,136.915,3230000
34.75,135.4601,11294000
43.075,141.34,2544000
38.2871,141.0217,2250000
35.32,139.58,3697894
35.53,139.705,1437266
-1.2833,36.8167,3010000
11.55,104.9166,1466000
39.0194,125.7547,3300000
38.7669,125.4524,1127000
35.5467,129.317,1061000
37.5663,126.9997,9796000
35.0951,129.01,3480000
37.4761,126.6422,2550000
35.8668,128.607,2460000
35.171,126.9104,1440000
36.3355,127.425,1468000
35.2191,128.5836,1081499
37.2578,127.0109,1078000
29.3697,47.9783,2063000
47.6211,-122.3244,3643765
37.5295,-77.4756,1059907
36.7335,-76.0435,1480383
38.9047,-77.0163,5289420
43.064,-87.9669,1377808
28.4788,-81.342,1776841
25.784,-80.2102,6381966
27.9937,-82.4454,2804240
30.3322,-81.6749,1156291
32.7937,-96.7662,5733259
30.3006,-97.7517,1638716
29.7868,-95.3905,5446468
29.4722,-98.5247,2002530
30.0687,-89.9288,1029123
35.2079,-80.8303,1467362
35.8323,-78.6439,1018336
35.1047,-89.9773,1068873
36.1714,-86.7844,1076645
40.7498,-73.7976,2333054
40.6943,-73.9249,19354922
40.8501,-73.8662,1455720
40.6501,-73.9496,2629150
40.7834,-73.9662,1643734
40.0076,-75.134,5637884
40.4396,-79.9763,1715297
38.5667,-121.4683,1854698
33.9381,-117.3948,2084749
37.7562,-122.443,3603761
32.8312,-117.1226,3210314
37.3018,-121.8485,1821899
34.1139,-118.4068,12815475
36.2291,-115.2607,2073045
39.7621,-104.8759,2787266
41.8373,-87.6861,8675982
33.7626,-84.4228,5228750
39.7771,-86.1458,1564699
33.5722,-112.0891,4081849
39.3051,-76.6144,2170504
42.3188,-71.0846,4637537
41.4767,-81.6805,1730363
39.986,-82.9852,1528314
39.1412,-84.5059,1648254
40.7774,-111.9301,1098400
38.6358,-90.2451,2078283
39.1239,-94.5541,1615621
44.9635,-93.2678,2926757
42.3834,-83.1024,3522206
41.8229,-71.4186,1206642
38.1662,-85.6488,1011696
45.5372,-122.65,2052796
